"plot_name"	"MAT_wc"	"MAT_pred"	"MinT_wc"	"MinT_pred"	"MaxT_wc"	"MaxT_pred"	"MAP_wc"	"MAP_pred"	"wbalann_wc"	"wbalann_pred"	"winterlen_wc"	"winterlen_pred"	"NA"	"NA"
"1"	"ALLEN2"	73	89.3531998045921	-102	-82.3190034196385	280	264.674157303371	408	609.637029799707	-153.835457206147	-96.5497041569313	5	3.96873473375672	104	79.6433805569125
"2"	"ALLEN4"	73	113.638495359062	-102	-84.6638983878847	280	278.699560332194	408	436.161700048851	-153.835457206147	-152.481009619354	5	2.96336101612115	104	74.9924279433317
"3"	"ALLEN5"	73	94.5354176844162	-102	-89.0605764533464	280	279.376648754274	408	426.52418172936	-153.835457206147	-212.82794446039	5	3.99804592085979	104	82.6030776746458
"4"	"ALLEN6"	73	109.167562286272	-102	-86.4225696140694	280	278.215925744992	408	410.863214460186	-153.835457206147	-142.177874402592	5	3.02784562774792	104	77.1064973131412
"5"	"ALLEN7"	73	26.9633610161212	-102	-154.131411822179	280	244.168050806058	408	626.502686858817	-153.835457206147	168.388058559807	5	7.97850512945774	104	98.6700048851977
"6"	"LUC-5"	139	113.637518319492	-31	-74.1470444553004	344	328.348314606741	213	157.746458231558	-567.524176781953	-528.241678047322	2	3.97459697117734	18	32.4020517830972
"7"	"LUC-SE"	139	136.612848070347	-31	-6.9599413776258	344	327.286516853933	213	197.525403028822	-567.524176781953	-501.119830227555	2	2.0400586223742	18	38.2899364924279
"8"	"TG-A"	136	149.513434294089	-35	-0.96873473375672	341	376.011235955056	216	175.931118710307	-549.738393488874	-730.148767372258	2	2.05764533463605	19	28.8693209574988
"9"	"TG-BL"	136	150.987787005374	-35	4.02393746946751	341	389.814606741573	216	147.517586712262	-549.738393488874	-781.378924365152	2	2.02833414753297	19	18.6636541279921
"10"	"TG-BU"	136	126.169516365413	-35	-14.9482169027846	341	390.404494382023	216	186.159990229604	-549.738393488874	-529.748447370642	2	2.0371275036639	19	30.8319491939424
"11"	"TG-FA-2"	136	141.527357107963	-35	-3.96433805569129	341	331.887640449438	216	190.706155349292	-549.738393488874	-525.228139400681	2	2.03419638495359	19	33.972154372252
"12"	"TG-FA-3"	136	148.407669760625	-35	-4.10698583292626	341	390.404494382023	216	165.702247191011	-549.738393488874	-558.37706451373	2	2.02833414753297	19	28.8693209574988
"13"	"TG-FM"	136	154.796531509527	-35	3.88128969223251	341	390.522471910112	216	142.971421592574	-549.738393488874	-787.406001658434	2	2.02540302882266	19	19.8412310698583
"14"	"OC1"	170	144.353199804592	-16	-23.9697117733268	380	354.893258426966	122	192.814362481681	-840.312194543957	-541.802601957206	0	2.01954079140206	28	39.0749877870053
"15"	"OC2(1)"	170	148.407669760625	-16	-13.1656082071324	380	379.078651685394	122	166.311187103077	-840.312194543957	-772.33830842523	0	2.02247191011236	28	33.972154372252
"16"	"OC2(2)"	170	144.230337078652	-16	-15.866634098681	380	375.775280898877	122	174.744015632633	-840.312194543957	-571.937988423615	0	2.02540302882266	28	36.719833903273
"17"	"OC3(1)"	170	142.755984367367	-16	-24.1118710307767	380	355.129213483146	122	174.744015632633	-840.312194543957	-596.046297596741	0	2.0371275036639	28	41.8226673180263
"18"	"OC3(2)"	170	144.967513434294	-16	-19.2784562774793	380	357.724719101123	122	162.697117733268	-840.312194543957	-668.371225116121	0	2.0371275036639	28	38.6824621397166
"19"	"OC3(MOD)"	170	163.396922325354	-16	4.31998045920858	380	391.348314606741	122	137.398632144601	-840.312194543957	-782.885693688473	0	2.02540302882267	28	26.9066927210552
"20"	"PR2(2)"	166	149.63629702003	-12	-4.82022471910113	370	390.050561797753	138	144.62677088422	-787.937596558874	-731.655536695578	0	2.0752320468979	33	28.4767953102101
"21"	"PR2(3)"	166	152.462139716658	-12	-3.67904250122132	370	390.640449438202	138	159.083048363458	-787.937596558874	-757.270615192026	0	2.08109428431851	33	31.224474841231
"22"	"PR1B(3)"	166	139.930141670737	-12	-4.82022471910113	370	381.202247191011	138	167.515876893014	-787.937596558874	-541.802601957206	0	2.06936980947729	33	31.224474841231
"23"	"PR3(5)"	173	143.86174890083	-11	-10.6687835857353	380	369.876404494382	124	167.515876893014	-851.169529726526	-549.336448573808	0	2.05764533463605	29	36.3273082559844
"24"	"BA07a"	116	118.455300439668	-88	-79.0378602833415	345	377.457743038593	252	201.247191011236	-480.307382744353	-542.528271396776	4	3.86614557889594	62	39.8988764044944
"25"	"BA10"	116	119.801660967269	-88	-80.6795310210063	345	315.455788959452	252	238.592574499267	-480.307382744353	-445.384425067305	4	3.86907669760626	62	50.4692232535417
"26"	"A1"	199	169.247923790913	14	17.1448461162677	405	380.373961895457	214	241.00195407914	-946.069143763745	-588.512450980139	0	0.0644846116267709	52	64.8448949682462
"27"	"MUERTO1"	99	47.8871519296532	-91	-153.309233023938	309	243.007327796775	274	599.999511480215	-369.529235603484	119.816135395073	5	5.96482657547631	84	105.012212994626
"28"	"MUERTO2"	99	117.997313141182	-91	-77.7059110893992	309	283.34245236932	274	333.76306790425	-369.529235603484	-367.37497271182	5	2.30679042501222	84	78.3749389350268
"29"	"CCYN1B"	103	112.80752320469	-97	-85.2960429897411	327	312.747435271128	234	257.867611138252	-443.204431397881	-401.673054888407	5	3.98045920859794	65	75.8380556912555
"30"	"CCYN4"	103	117.023693209575	-97	-83.8158280410357	327	317.873961895456	234	265.095749877871	-443.204431397881	-406.193362858369	5	3.00732779677577	65	77.952125061065
