Age (ka)	Global (°C)	1σ uncertainty (°C)		Northern Hemisphere (°C)	1σ uncertainty (°C)		Southern Hemisphere (°C)	1σ uncertainty (°C)		deltaT (°C)	1σ uncertainty (°C)		deltaT_Atlantic (°C)	1σ uncertainty (°C)
6.5	0.13	0.12		0.24	0.14		-0.03	0.17		0.27	0.21		0.00	0.32
6.6	0.14	0.11		0.24	0.14		-0.02	0.18		0.25	0.22		-0.03	0.32
6.7	0.14	0.11		0.25	0.14		-0.02	0.16		0.27	0.21		-0.02	0.32
6.8	0.16	0.11		0.27	0.14		-0.02	0.17		0.29	0.21		0.04	0.31
6.9	0.16	0.11		0.27	0.14		-0.02	0.17		0.29	0.22		0.05	0.32
7	0.16	0.11		0.27	0.14		-0.03	0.16		0.30	0.22		0.02	0.33
7.1	0.16	0.11		0.29	0.14		-0.04	0.16		0.32	0.22		0.05	0.31
7.2	0.18	0.10		0.31	0.14		-0.03	0.17		0.34	0.22		0.09	0.31
7.3	0.18	0.10		0.32	0.14		-0.05	0.16		0.37	0.21		0.17	0.29
7.4	0.16	0.10		0.30	0.14		-0.08	0.16		0.38	0.21		0.22	0.30
7.5	0.14	0.11		0.29	0.14		-0.09	0.16		0.38	0.21		0.17	0.29
7.6	0.12	0.10		0.27	0.13		-0.11	0.16		0.38	0.20		0.17	0.29
7.7	0.12	0.10		0.28	0.13		-0.13	0.17		0.41	0.21		0.23	0.30
7.8	0.12	0.10		0.28	0.13		-0.13	0.16		0.42	0.20		0.23	0.30
7.9	0.11	0.11		0.26	0.13		-0.12	0.16		0.38	0.20		0.19	0.28
8	0.12	0.10		0.25	0.13		-0.09	0.16		0.34	0.21		0.22	0.28
8.1	0.10	0.11		0.21	0.13		-0.07	0.17		0.28	0.21		0.16	0.30
8.2	0.08	0.10		0.16	0.14		-0.05	0.16		0.21	0.21		0.07	0.30
8.3	0.12	0.10		0.21	0.13		-0.01	0.17		0.22	0.22		0.15	0.31
8.4	0.15	0.10		0.23	0.13		0.03	0.17		0.20	0.22		0.15	0.32
8.5	0.16	0.11		0.23	0.14		0.05	0.16		0.18	0.21		0.17	0.30
8.6	0.16	0.10		0.22	0.13		0.05	0.16		0.17	0.21		0.20	0.30
8.7	0.16	0.11		0.22	0.14		0.06	0.16		0.15	0.21		0.17	0.30
8.8	0.16	0.10		0.21	0.13		0.07	0.16		0.14	0.21		0.15	0.30
8.9	0.17	0.10		0.23	0.13		0.07	0.16		0.16	0.21		0.19	0.30
9	0.15	0.10		0.19	0.13		0.07	0.16		0.12	0.20		0.13	0.30
9.1	0.15	0.10		0.21	0.13		0.06	0.16		0.15	0.20		0.18	0.30
9.2	0.14	0.10		0.19	0.13		0.05	0.16		0.14	0.20		0.18	0.31
9.3	0.14	0.10		0.20	0.13		0.05	0.16		0.15	0.21		0.25	0.30
9.4	0.14	0.11		0.19	0.14		0.05	0.16		0.14	0.21		0.27	0.31
9.5	0.12	0.11		0.17	0.14		0.06	0.16		0.10	0.20		0.23	0.32
9.6	0.11	0.11		0.13	0.14		0.09	0.16		0.04	0.20		0.18	0.31
9.7	0.10	0.11		0.09	0.14		0.11	0.16		-0.02	0.21		0.19	0.31
9.8	0.08	0.11		0.05	0.14		0.12	0.16		-0.07	0.21		0.18	0.32
9.9	0.06	0.11		0.02	0.14		0.13	0.17		-0.12	0.22		0.17	0.31
10	0.02	0.11		-0.05	0.14		0.13	0.17		-0.18	0.22		0.08	0.30
10.1	-0.02	0.11		-0.10	0.14		0.11	0.16		-0.22	0.22		0.01	0.31
10.2	-0.06	0.10		-0.17	0.14		0.09	0.16		-0.26	0.22		-0.06	0.31
10.3	-0.10	0.11		-0.22	0.14		0.09	0.16		-0.31	0.22		-0.11	0.31
10.4	-0.10	0.11		-0.23	0.14		0.11	0.17		-0.35	0.23		-0.17	0.31
10.5	-0.10	0.11		-0.25	0.14		0.14	0.18		-0.39	0.22		-0.21	0.30
10.6	-0.13	0.11		-0.28	0.14		0.13	0.17		-0.41	0.22		-0.19	0.30
10.7	-0.17	0.11		-0.34	0.14		0.10	0.17		-0.44	0.22		-0.16	0.29
10.8	-0.24	0.11		-0.44	0.14		0.06	0.18		-0.50	0.23		-0.22	0.31
10.9	-0.32	0.11		-0.54	0.15		0.02	0.17		-0.55	0.23		-0.30	0.31
11	-0.39	0.11		-0.62	0.15		-0.04	0.17		-0.58	0.22		-0.36	0.31
11.1	-0.48	0.11		-0.72	0.15		-0.09	0.16		-0.64	0.22		-0.47	0.33
11.2	-0.54	0.12		-0.79	0.16		-0.14	0.16		-0.65	0.22		-0.54	0.35
11.3	-0.62	0.12		-0.90	0.16		-0.18	0.16		-0.72	0.23		-0.70	0.35
11.4	-0.70	0.12		-0.99	0.16		-0.24	0.17		-0.75	0.24		-0.86	0.36
11.5	-0.78	0.12		-1.09	0.17		-0.29	0.18		-0.79	0.25		-0.93	0.40
11.6	-0.87	0.13		-1.21	0.17		-0.34	0.18		-0.87	0.25		-1.19	0.43
11.7	-1.05	0.13		-1.46	0.18		-0.41	0.19		-1.05	0.26		-1.61	0.43
11.8	-1.16	0.13		-1.60	0.18		-0.46	0.19		-1.14	0.25		-1.89	0.40
11.9	-1.25	0.13		-1.71	0.17		-0.52	0.18		-1.19	0.24		-2.10	0.39
12	-1.30	0.12		-1.75	0.17		-0.59	0.18		-1.16	0.24		-2.16	0.39
12.1	-1.39	0.12		-1.86	0.17		-0.65	0.17		-1.21	0.24		-2.23	0.39
12.2	-1.42	0.12		-1.87	0.17		-0.70	0.17		-1.17	0.24		-2.26	0.39
12.3	-1.48	0.12		-1.94	0.16		-0.75	0.18		-1.19	0.24		-2.34	0.38
12.4	-1.56	0.12		-2.03	0.17		-0.82	0.17		-1.21	0.25		-2.34	0.38
12.5	-1.65	0.13		-2.12	0.17		-0.90	0.18		-1.22	0.24		-2.35	0.38
12.6	-1.70	0.13		-2.16	0.17		-0.97	0.18		-1.19	0.25		-2.35	0.38
12.7	-1.70	0.13		-2.12	0.17		-1.03	0.18		-1.09	0.25		-2.24	0.39
12.8	-1.68	0.13		-2.06	0.18		-1.09	0.18		-0.97	0.25		-1.97	0.40
12.9	-1.63	0.13		-1.95	0.18		-1.13	0.18		-0.82	0.25		-1.71	0.42
13	-1.60	0.13		-1.91	0.18		-1.13	0.18		-0.78	0.26		-1.60	0.42
13.1	-1.58	0.13		-1.87	0.17		-1.13	0.19		-0.74	0.26		-1.52	0.41
13.2	-1.53	0.13		-1.77	0.17		-1.16	0.18		-0.60	0.25		-1.32	0.41
13.3	-1.48	0.12		-1.66	0.17		-1.19	0.18		-0.46	0.24		-1.11	0.38
13.4	-1.43	0.12		-1.59	0.16		-1.18	0.18		-0.40	0.24		-1.00	0.37
13.5	-1.43	0.12		-1.59	0.15		-1.17	0.17		-0.42	0.23		-1.02	0.37
13.6	-1.46	0.12		-1.62	0.15		-1.19	0.18		-0.43	0.23		-0.99	0.37
13.7	-1.47	0.12		-1.62	0.15		-1.23	0.17		-0.39	0.23		-0.90	0.36
13.8	-1.50	0.12		-1.65	0.16		-1.28	0.18		-0.37	0.24		-0.82	0.37
13.9	-1.56	0.12		-1.70	0.16		-1.34	0.18		-0.36	0.24		-0.84	0.37
14	-1.60	0.13		-1.74	0.17		-1.37	0.18		-0.38	0.24		-0.92	0.38
14.1	-1.62	0.13		-1.76	0.18		-1.39	0.18		-0.37	0.25		-0.91	0.39
14.2	-1.64	0.13		-1.79	0.18		-1.40	0.18		-0.38	0.26		-0.96	0.42
14.3	-1.69	0.14		-1.86	0.20		-1.41	0.18		-0.45	0.26		-1.12	0.43
14.4	-1.76	0.15		-1.98	0.21		-1.42	0.18		-0.56	0.27		-1.29	0.46
14.5	-1.85	0.15		-2.12	0.22		-1.43	0.18		-0.69	0.27		-1.48	0.49
14.6	-1.98	0.15		-2.31	0.23		-1.46	0.18		-0.85	0.30		-1.75	0.52
14.7	-2.11	0.16		-2.50	0.23		-1.50	0.18		-1.00	0.29		-2.02	0.50
14.8	-2.22	0.15		-2.66	0.21		-1.54	0.19		-1.11	0.27		-2.21	0.46
14.9	-2.31	0.14		-2.77	0.19		-1.58	0.18		-1.19	0.26		-2.33	0.44
15	-2.38	0.14		-2.86	0.18		-1.62	0.18		-1.25	0.25		-2.40	0.43
15.1	-2.42	0.13		-2.91	0.17		-1.65	0.18		-1.25	0.25		-2.40	0.42
15.2	-2.46	0.13		-2.94	0.17		-1.69	0.18		-1.25	0.25		-2.36	0.41
15.3	-2.49	0.12		-2.96	0.17		-1.75	0.18		-1.22	0.24		-2.29	0.38
15.4	-2.52	0.13		-2.99	0.17		-1.78	0.18		-1.21	0.24		-2.29	0.38
15.5	-2.56	0.12		-3.03	0.16		-1.81	0.19		-1.22	0.25		-2.34	0.40
15.6	-2.60	0.12		-3.07	0.16		-1.84	0.19		-1.23	0.25		-2.37	0.38
15.7	-2.63	0.12		-3.10	0.16		-1.88	0.19		-1.22	0.25		-2.39	0.40
15.8	-2.67	0.13		-3.14	0.17		-1.91	0.19		-1.23	0.26		-2.43	0.41
15.9	-2.70	0.12		-3.18	0.17		-1.94	0.18		-1.23	0.25		-2.47	0.40
16	-2.74	0.12		-3.23	0.17		-1.97	0.18		-1.25	0.25		-2.52	0.39
16.1	-2.78	0.13		-3.27	0.17		-2.01	0.18		-1.26	0.25		-2.52	0.41
16.2	-2.82	0.13		-3.31	0.17		-2.04	0.18		-1.27	0.25		-2.50	0.40
16.3	-2.86	0.13		-3.35	0.18		-2.08	0.19		-1.27	0.26		-2.48	0.40
16.4	-2.90	0.13		-3.38	0.17		-2.13	0.19		-1.25	0.25		-2.49	0.40
16.5	-2.94	0.13		-3.42	0.17		-2.18	0.18		-1.24	0.25		-2.53	0.38
16.6	-2.98	0.13		-3.45	0.17		-2.23	0.18		-1.22	0.24		-2.55	0.39
16.7	-3.02	0.13		-3.48	0.17		-2.28	0.18		-1.20	0.24		-2.53	0.38
16.8	-3.05	0.13		-3.50	0.17		-2.34	0.19		-1.17	0.25		-2.50	0.40
16.9	-3.08	0.13		-3.52	0.17		-2.38	0.19		-1.13	0.25		-2.52	0.40
17	-3.10	0.13		-3.53	0.18		-2.43	0.19		-1.10	0.25		-2.57	0.39
17.1	-3.15	0.14		-3.58	0.18		-2.47	0.19		-1.10	0.25		-2.60	0.40
17.2	-3.20	0.14		-3.63	0.18		-2.51	0.20		-1.12	0.27		-2.63	0.41
17.3	-3.21	0.14		-3.64	0.19		-2.55	0.20		-1.09	0.27		-2.63	0.42
17.4	-3.21	0.13		-3.60	0.18		-2.60	0.19		-1.01	0.26		-2.55	0.41
17.5	-3.22	0.13		-3.58	0.18		-2.65	0.19		-0.92	0.26		-2.47	0.42
17.6	-3.23	0.13		-3.56	0.18		-2.70	0.19		-0.86	0.25		-2.36	0.42
17.7	-3.24	0.13		-3.55	0.17		-2.77	0.19		-0.78	0.25		-2.24	0.43
17.8	-3.25	0.13		-3.52	0.17		-2.83	0.19		-0.69	0.25		-2.12	0.42
17.9	-3.27	0.13		-3.52	0.17		-2.89	0.19		-0.63	0.25		-2.01	0.41
18	-3.28	0.13		-3.50	0.17		-2.94	0.19		-0.56	0.25		-1.89	0.39
18.1	-3.31	0.13		-3.50	0.17		-3.00	0.18		-0.50	0.24		-1.78	0.40
18.2	-3.33	0.12		-3.49	0.17		-3.06	0.18		-0.43	0.24		-1.68	0.39
18.3	-3.34	0.12		-3.47	0.17		-3.12	0.18		-0.35	0.25		-1.54	0.40
18.4	-3.35	0.12		-3.46	0.17		-3.18	0.18		-0.28	0.25		-1.43	0.40
18.5	-3.36	0.12		-3.44	0.16		-3.23	0.17		-0.21	0.24		-1.31	0.38
