analysis_id	matrix_id	plot_name	locality_desc	lat	lon	elev_mean	plot_age	plot_agestdev	num_taxa
36455	28716	ALLEN2	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	7200	90	14
36456	28717	ALLEN4	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	1820	50	12
36457	28718	ALLEN5	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	3000	70	17
36458	28719	ALLEN6	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	3400	60	16
36459	28720	ALLEN7	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	11310	200	20
36460	28721	ALLEN9	Allen Canyon Cave: Abajo Mountains	37.792	-109.592	2195 m	10070	70	12
36461	28722	C-1	Corsair: Alabama Hills	36.622	-118.150	1535 m	8700	80	10
36462	28723	LUC-1	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	5090	90	10
36463	28724	LUC-2	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	5610	60	6
36464	28725	LUC-4	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	7990	50	11
36465	28726	LUC-5	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	7840	100	9
36466	28727	LUC-S	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	2800	100	7
36467	28728	LUC-SE	Lubkin Canyon: Alabama Hills	36.533	-118.050	1264 m	9460	50	9
36468	28729	TG-A	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	7840	70	12
36469	28730	TG-BL	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	2830	90	13
36470	28731	TG-BU	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	3720	80	11
36471	28732	TG-E-1	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	19070	190	10
36472	28733	TG-E-3	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	13350	110	9
36473	28734	TG-E-4B	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	17760	120	5
36474	28735	TG-E-4T	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	31450	510	9
36475	28736	TG-FA-2	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	9540	100	11
36476	28737	TG-FA-3	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	7700	60	15
36477	28738	TG-FM	Two Goblin: Alabama Hills	36.625	-118.125	1460 m	0	0	10
36478	28739	OC1	Owl Canyon NV: Amargosa Desert	36.400	-116.233	790 m	13150	500	10
36479	28740	OC2(1)	Owl Canyon NV: Amargosa Desert	36.407	-116.240	800 m	10260	520	10
36480	28741	OC2(2)	Owl Canyon NV: Amargosa Desert	36.407	-116.240	800 m	10070	220	11
36481	28742	OC3(1)	Owl Canyon NV: Amargosa Desert	36.405	-116.241	790 m	32870	1370	11
36482	28743	OC3(2)	Owl Canyon NV: Amargosa Desert	36.405	-116.241	790 m	28701	0	9
36483	28744	OC3(MOD)	Owl Canyon NV: Amargosa Desert	36.405	-116.241	790 m	0	0	16
36484	28745	PR2(2)	Point of Rocks: Amargosa Desert	36.563	-116.082	930 m	9560	220	15
36485	28746	PR2(3)	Point of Rocks: Amargosa Desert	36.563	-116.082	930 m	9260	180	19
36486	28747	PR1B(3)	Point of Rocks: Amargosa Desert	36.570	-116.079	900 m	11680	650	13
36487	28748	PR3(5)	Point of Rocks: Amargosa Desert	36.569	-116.086	910 m	14810	400	16
36488	28749	RR2	Red Rocks: Antelope Island	40.945	-112.234	1490 m	2420	30	7
36489	28750	SENC4	Sentry Cave: Antelope Island	40.917	-112.199	1607 m	2060	50	5
36490	28751	BA03	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	16460	170	8
36491	28752	BA04	Bison Alcove: Arches National Park	38.733	-109.500	1317 m	15270	230	6
