analysis_id	is_genus	is_binom	num_tax	num_tax2
36455	8	12	20	20
36456	8	11	19	19
36457	9	15	24	24
36458	6	12	18	18
36459	4	19	23	23
36460	5	4	9	9
36461	2	5	7	7
36462	0	1	1	1
36463	2	6	8	8
36464	0	1	1	1
36465	4	6	10	10
36466	2	7	9	9
36467	2	9	11	11
36468	3	7	10	10
36469	2	8	10	10
36470	3	7	10	10
36471	1	6	7	7
36472	4	5	9	9
36473	1	3	4	4
36474	2	7	9	9
36475	6	9	15	15
36476	3	10	13	13
36477	3	10	13	13
36478	2	10	12	12
36479	7	10	17	17
36480	8	10	18	18
36481	4	11	15	15
36482	2	9	11	11
36483	5	14	19	19
36484	8	10	18	18
36485	7	11	18	18
36486	10	12	22	22
36487	8	10	18	18
36488	1	4	5	5
36489	1	0	1	1
36490	0	0	0	0
36491	0	1	1	1
36492	0	0	0	0
36493	5	5	10	10
36494	4	8	12	12
36495	0	1	1	1
36496	6	2	8	8
36497	0	0	0	0
36498	5	10	15	15
36499	0	2	2	2
36500	9	10	19	19
36501	0	13	13	13
36502	5	9	14	14
36503	3	6	9	9
36504	4	6	10	10
36505	3	9	12	12
36506	5	8	13	13
36507	5	8	13	13
36508	6	7	13	13
36509	3	9	12	12
36510	7	7	14	14
36511	5	7	12	12
36512	6	7	13	13
36513	4	8	12	12
36514	3	9	12	12
36515	4	4	8	8
36516	6	5	11	11
36517	5	7	12	12
36518	7	6	13	13
36519	2	5	7	7
36520	5	7	12	12
36521	3	3	6	6
36522	7	8	15	15
36523	5	6	11	11
36524	5	8	13	13
36525	6	3	9	9
36526	2	7	9	9
36527	0	7	7	7
36528	2	8	10	10
36529	6	7	13	13
36530	3	8	11	11
36531	2	9	11	11
36532	0	5	5	5
36533	2	5	7	7
36534	5	2	7	7
36535	6	20	26	26
36536	5	15	20	20
36537	8	18	26	26
36538	4	9	13	13
36539	8	15	23	23
36540	7	14	21	21
36541	6	14	20	20
36542	6	7	13	13
36543	6	5	11	11
36544	4	11	15	15
36545	8	10	18	18
36546	8	11	19	19
36547	5	12	17	17
36548	6	10	16	16
36549	6	12	18	18
36550	6	8	14	14
36551	3	6	9	9
36552	7	12	19	19
36553	10	11	21	21
36554	2	7	9	9
36555	3	7	10	10
36556	6	5	11	11
36557	4	4	8	8
36558	12	6	18	18
36559	4	8	12	12
36560	5	11	16	16
36561	7	14	21	21
36562	7	12	19	19
36563	6	14	20	20
36564	2	4	6	6
36565	3	10	13	13
36566	6	11	17	17
36567	5	14	19	19
36568	4	13	17	17
36569	2	13	15	15
36570	2	9	11	11
36571	7	15	22	22
36572	3	5	8	8
36573	2	5	7	7
36574	2	3	5	5
36575	7	7	14	14
36576	1	2	3	3
36577	3	3	6	6
36578	4	5	9	9
36579	0	0	0	0
36580	1	2	3	3
36581	0	5	5	5
36582	1	6	7	7
36583	1	7	8	8
36584	2	10	12	12
36585	1	6	7	7
36586	1	2	3	3
36587	0	3	3	3
36588	0	7	7	7
36589	1	9	10	10
36590	2	15	17	17
36591	4	14	18	18
36592	2	9	11	11
36593	1	9	10	10
36594	3	9	12	12
36595	2	7	9	9
36596	1	12	13	13
36597	3	14	17	17
36598	0	9	9	9
36599	0	6	6	6
36600	1	6	7	7
36601	2	5	7	7
36602	1	4	5	5
36603	0	0	0	0
36604	0	1	1	1
36605	0	0	0	0
36606	1	0	1	1
36607	11	12	23	23
36608	11	12	23	23
36609	13	9	22	22
36610	11	10	21	21
36611	13	5	18	18
36612	1	10	11	11
36613	3	16	19	19
36614	7	15	22	22
36615	6	20	26	26
36616	5	16	21	21
36617	4	13	17	17
36618	7	13	20	20
36619	9	16	25	25
36620	5	25	30	30
36621	4	20	24	24
36622	6	12	18	18
36623	4	7	11	11
36624	5	6	11	11
36625	4	6	10	10
36626	6	5	11	11
36627	3	8	11	11
36628	2	5	7	7
36629	3	9	12	12
36630	5	11	16	16
36631	4	8	12	12
36632	5	9	14	14
36633	6	11	17	17
36634	3	7	10	10
36635	5	10	15	15
36636	1	6	7	7
36637	7	4	11	11
36638	9	6	15	15
36639	5	7	12	12
36640	2	9	11	11
36641	4	6	10	10
36642	4	5	9	9
36643	7	5	12	12
36644	4	7	11	11
36645	2	9	11	11
36646	1	0	1	1
36647	1	0	1	1
36648	1	5	6	6
36649	1	1	2	2
36650	0	6	6	6
36651	9	13	22	22
36652	7	10	17	17
36653	4	8	12	12
36654	5	8	13	13
36655	3	7	10	10
36656	3	8	11	11
36657	5	7	12	12
36658	3	7	10	10
36659	8	9	17	17
36660	4	9	13	13
36661	5	8	13	13
36662	8	7	15	15
36663	4	8	12	12
36664	5	4	9	9
36665	4	8	12	12
36666	3	7	10	10
36667	3	7	10	10
36668	6	7	13	13
36669	4	4	8	8
36670	8	10	18	18
36671	4	9	13	13
36672	3	4	7	7
36673	10	7	17	17
36674	9	6	15	15
36675	1	3	4	4
36676	2	8	10	10
36677	1	12	13	13
36678	4	10	14	14
36679	1	6	7	7
36680	2	9	11	11
36681	3	15	18	18
36682	2	9	11	11
36683	3	10	13	13
36684	1	9	10	10
36685	3	9	12	12
36686	3	15	18	18
36687	3	14	17	17
36688	4	11	15	15
36689	1	13	14	14
36690	1	17	18	18
36691	1	17	18	18
36692	3	16	19	19
36693	1	11	12	12
36694	1	17	18	18
36695	2	14	16	16
36696	1	15	16	16
36697	2	4	6	6
36698	2	13	15	15
36699	1	5	6	6
36700	1	4	5	5
36701	1	7	8	8
36702	0	5	5	5
36703	0	1	1	1
36704	0	3	3	3
36705	1	4	5	5
36706	6	4	10	10
36707	0	0	0	0
36708	8	6	14	14
36709	4	6	10	10
36710	10	8	18	18
36711	7	8	15	15
36712	7	8	15	15
36713	10	10	20	20
36714	6	8	14	14
36715	11	9	20	20
36716	7	11	18	18
36717	5	8	13	13
36718	4	6	10	10
36719	3	6	9	9
36720	10	10	20	20
36721	4	6	10	10
36722	4	5	9	9
36723	6	4	10	10
36724	3	2	5	5
36725	4	1	5	5
36726	8	4	12	12
36727	5	3	8	8
36728	7	2	9	9
36729	7	4	11	11
36730	13	5	18	18
36731	18	8	26	26
36732	1	10	11	11
36733	2	8	10	10
36734	1	7	8	8
36735	3	8	11	11
36736	3	12	15	15
36737	3	8	11	11
36738	2	6	8	8
36739	3	8	11	11
36740	2	6	8	8
