"ka"	"avg.dif"	"stdev"	"sites.used"
50	1.17733268197362	0.545257897643477	5
49.9	0.659998371600719	0.57569969343142	6
49.8	0.659998371600719	0.57569969343142	6
49.7	0.141824272454465	0.819891920759263	7
49.6	0.141824272454465	0.819891920759263	7
49.5	0.141824272454465	0.819891920759263	7
49.4	0.141824272454465	0.819891920759263	7
49.3	0.141824272454465	0.819891920759263	7
49.2	0.141824272454465	0.819891920759263	7
49.1	-0.0901746458231534	0.76156368510783	8
49	-0.0901746458231534	0.76156368510783	8
48.9	-0.0901746458231534	0.76156368510783	8
48.8	-0.0901746458231534	0.76156368510783	8
48.7	-0.0901746458231534	0.76156368510783	8
48.6	-0.0901746458231534	0.76156368510783	8
48.5	-0.0901746458231534	0.76156368510783	8
48.4	-0.0901746458231534	0.76156368510783	8
48.3	-0.0901746458231534	0.76156368510783	8
48.2	-0.0901746458231534	0.76156368510783	8
48.1	-0.0901746458231534	0.76156368510783	8
48	-0.0901746458231534	0.76156368510783	8
47.9	-0.0901746458231534	0.76156368510783	8
47.8	-0.0901746458231534	0.76156368510783	8
47.7	-0.191988275525157	0.713148794712034	7
47.6	-0.191988275525157	0.713148794712034	7
47.5	-0.191988275525157	0.713148794712034	7
47.4	-0.191988275525157	0.713148794712034	7
47.3	-0.419092981599086	0.738843411241428	6
47.2	-0.419092981599086	0.738843411241428	6
47.1	-0.419092981599086	0.738843411241428	6
47	-0.419092981599086	0.738843411241428	6
46.9	-0.419092981599086	0.738843411241428	6
46.8	-0.419092981599086	0.738843411241428	6
46.7	-0.419092981599086	0.738843411241428	6
46.6	-0.419092981599086	0.738843411241428	6
46.5	-0.419092981599086	0.738843411241428	6
46.4	-0.419092981599086	0.738843411241428	6
46.3	-0.419092981599086	0.738843411241428	6
46.2	-0.419092981599086	0.738843411241428	6
46.1	-0.419092981599086	0.738843411241428	6
46	-0.419092981599086	0.738843411241428	6
45.9	-0.302547281736338	0.854212744027431	7
45.8	-0.302547281736338	0.854212744027431	7
45.7	-0.302547281736338	0.854212744027431	7
45.6	-0.302547281736338	0.854212744027431	7
45.5	-0.628437957987297	0.919036769452079	8
45.4	-0.628437957987297	0.919036769452079	8
45.3	-0.759492550073277	1.09028281968933	8
45.2	-0.759492550073277	1.09028281968933	8
45.1	-0.759492550073277	1.09028281968933	8
